plant_key,Name,Definition,Applications,Advantages,Usage,Precautions,Visit_url
aloe_vera,Aloevera,Aloevera is a succulent plant species native to the Arabian Peninsula...,"Used in skincare, burns, digestive benefits, etc.","Soothes skin, promotes wound healing, antioxidant properties.",Applied topically or consumed as Aloe Vera juice.,"Excess consumption can cause diarrhea, consult doctor.",https://en.wikipedia.org/wiki/Aloe_vera
amla,Amla,Amla (Indian Gooseberry) is a powerful antioxidant-rich fruit.,"Enhances immunity, supports digestion, promotes hair growth.","Fights oxidative stress, boosts skin and hair health.","Consumed raw, as juice, or used in Ayurvedic products.",Excess intake may cause acidity; consult doctor.,https://en.wikipedia.org/wiki/Phyllanthus_emblica
bamboo,Bamboo,Fast-growing woody grass used in construction and medicine.,"Supports digestion, respiratory conditions, skincare benefits.","Rich in silica, has anti-inflammatory properties.",Bamboo shoots eaten cooked; extracts used in supplements.,Must be cooked properly to remove cyanide.,https://en.wikipedia.org/wiki/Bamboo
tulsi,Tulsi,Tulsi is a sacred plant used in Ayurveda for various health benefits.,"Used for treating cough, stress, digestive disorders.","Anti-inflammatory, antimicrobial, antioxidant, adaptogenic.","Tea, raw leaves, oils, and Ayurvedic formulations.",May slow blood clotting or affect fertility.,https://en.wikipedia.org/wiki/Ocimum_tenuiflorum
Tulasi,Tulasi,"Tulasi (Ocimum sanctum or Ocimum tenuiflorum) is a revered medicinal plant in Ayurvedic medicine and a sacred herb in Hindu culture. Often grown in homes and temples, it symbolizes purity and wellness.","Tulasi is widely used to treat respiratory ailments, colds, fever, stress, and digestive issues. It is also consumed as herbal tea and used in religious rituals for purification and protection.","Tulasi offers adaptogenic, antimicrobial, and anti-inflammatory properties. It strengthens the immune system, reduces stress levels, and improves respiratory and cardiovascular health.","Leaves are consumed fresh, brewed into teas, or used in Ayurvedic remedies like kadha. Tulasi oil and extracts are also found in wellness and skincare products.",High intake may affect blood clotting and fertility. Those with blood sugar issues or on medication should consult a healthcare provider. Always consume in moderation.,https://en.wikipedia.org/wiki/Ocimum_tenuiflorum
curry_Leaf,Curry Leaf,Curry Leaf (Murraya koenigii) is a tropical to subtropical tree native to India and Sri Lanka. Its aromatic leaves are widely used in South Asian cuisine and traditional medicine.,"Curry leaves are used to treat anemia, diabetes, and digestive issues. They are also applied in hair care for strengthening roots, preventing hair fall, and promoting hair growth.","Curry leaves are rich in iron, calcium, and antioxidants. They help regulate blood sugar levels, improve digestion, reduce oxidative stress, and support healthy hair and skin.","The fresh or dried leaves are added to dishes during tempering for flavor. In herbal medicine, curry leaf powder or juice is consumed for health benefits. The paste is applied to the scalp for hair nourishment.",Generally safe when used in moderate dietary amounts. Overconsumption in concentrated forms may lead to digestive issues. People on diabetes medication should monitor blood sugar levels when using curry leaves therapeutically.,https://en.wikipedia.org/wiki/Curry_tree
curry,Curry,"Curry typically refers to the leaves of the Curry Tree (Murraya koenigii), a plant native to India and commonly used in South Asian cuisine and traditional Ayurvedic medicine for its aromatic and therapeutic properties.","Curry leaves are used to manage blood sugar levels, cholesterol, indigestion, and oxidative stress. They are also beneficial in hair care, promoting hair growth and preventing premature greying.","Curry leaves possess antioxidant, antimicrobial, anti-inflammatory, and anti-diabetic properties. They are rich in essential nutrients like iron, calcium, and vitamins A, B, C, and E.","Curry leaves are used fresh or dried in cooking, especially for seasoning Indian dishes. In traditional medicine, leaf extracts, powders, or juices are consumed or applied topically for various health benefits.","Curry leaves are generally safe when consumed in food. However, high doses of extracts or supplements should be taken under medical supervision, especially for those managing blood sugar or on specific medications.",https://en.wikipedia.org/wiki/Curry_tree
betel,Betel,"Betel (Piper betle) is a vine from the Piperaceae family, whose leaves are traditionally used across Asia and parts of Africa for cultural, medicinal, and ceremonial purposes. The leaves are often chewed along with areca nut and other ingredients.","Betel leaves are used in traditional medicine to treat bad breath, wounds, infections, cough, and indigestion. They are also used as a mouth freshener and in religious rituals across South Asia.","Betel leaves have antimicrobial, antioxidant, and anti-inflammatory properties. They aid digestion, freshen breath, improve oral health, and may help with wound healing and respiratory conditions.","The fresh leaves are commonly chewed with areca nut (sometimes with lime or tobacco). In medicine, they are used in poultices or as infusions to treat minor infections and digestive issues.","Chewing betel leaves with areca nut and tobacco is linked to oral cancer and other health risks. The leaves themselves are generally safe, but combining them with carcinogenic substances should be avoided. Excessive use may also stain teeth and affect oral hygiene.",https://en.wikipedia.org/wiki/Betel
palak(Spinach),Palak,"Palak, commonly known as Spinach (Spinacia oleracea), is a leafy green vegetable native to central and western Asia. It is widely cultivated and consumed globally for its rich nutritional value.","Spinach is used in cooking and traditional medicine for improving vision, enhancing bone health, reducing anemia, and supporting cardiovascular function. It's also included in diets for weight management and detoxification.","Palak is rich in iron, calcium, folate, vitamin A, vitamin C, and antioxidants like lutein. It boosts immunity, promotes healthy skin and hair, strengthens bones, and supports heart health.","Spinach can be consumed raw in salads, or cooked in dishes like curries, soups, smoothies, and stews. It is also used in juices and herbal preparations for detox and nutritional therapy.",Excessive intake of raw spinach may interfere with calcium absorption due to oxalates and could contribute to kidney stone formation in susceptible individuals. Those on blood thinners should moderate intake due to its high vitamin K content.,https://en.wikipedia.org/wiki/Spinach
coriender,Coriander,"Coriander (Coriandrum sativum) is an annual herb in the Apiaceae family. It is widely cultivated for its fresh leaves (cilantro) and dried seeds, both of which are commonly used in culinary and medicinal applications.","Coriander is used to treat digestive disorders, control blood sugar, reduce inflammation, and support detoxification. The leaves and seeds are both used in cooking and traditional herbal medicine.","Coriander has antimicrobial, anti-inflammatory, and antioxidant properties. It supports healthy digestion, reduces bloating, helps manage cholesterol, and may assist in regulating blood sugar levels.",Fresh coriander leaves (cilantro) are added to dishes for flavor and garnish. The seeds are used whole or ground in spice blends. Coriander tea and seed decoctions are used to aid digestion and detox the body.,"Coriander is generally safe when consumed in food. Some individuals may experience allergic reactions or skin sensitivity. Large medicinal doses should be taken with caution, especially during pregnancy.",https://en.wikipedia.org/wiki/Coriander
