Plant Name,Definition,Health Benefits,Traditional Use,Active Compounds,Dosage,Precautions,Sources
aloe_vera,"Aloe vera is a succulent plant species of the genus Aloe. It is widely distributed, and is considered an invasive species in many world regions.","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/aloe_vera
amla,"Amla (Indian Gooseberry) is a powerful antioxidant-rich fruit. "
,"Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/amla
bamboo,"Bamboos are a diverse group of mostly evergreen perennial flowering plants making up the subfamily Bambusoideae of the grass family Poaceae.Giant bamboos are the largest members of the grass family, in the case of Dendrocalamus sinicus having individual stalks (culms) reaching a length of 46 meters (151 ft), up to 36 centimeters (14 in) in thickness and a weight of up to 450 kilograms (1,000 lb).[6] The internodes of bamboos can also be of great length. Kinabaluchloa wrayi has internodes up to 2.5 meters (8 ft) in length.and Arthrostylidium schomburgkii has internodes up to 5 meters (16 ft) in length,[8] exceeded in length only by papyrus.  By contrast, the stalks of the tiny bamboo Raddiella vanessiae of the savannas of French Guiana measure only 10–20 millimeters (0.4–0.8 in) in length by about 2 millimeters (0.08 in) in width.The origin of the word ""bamboo"" is uncertain, but it most likely comes from the Dutch or Portuguese language, which originally borrowed it from Malay or Kannada.","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/bamboo
tulsi,"Ocimum tenuiflorum, commonly known as holy basil, tulasi or tulsi (from Sanskrit), is an aromatic perennial plant in the family Lamiaceae.[2][3] It is widely cultivated throughout the Southeast Asian tropics.[1][4][5] It is native to tropical and subtropical regions of Asia, Australia and the western Pacific.[1] This plant has  escaped from cultivation and has naturalized in many tropical regions of the Americas.[3][6] It is an agricultural and environmental weed.[3]","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/tulsi
Tulasi,"Ocimum tenuiflorum, commonly known as holy basil, tulasi or tulsi (from Sanskrit), is an aromatic perennial plant in the family Lamiaceae.[2][3] It is widely cultivated throughout the Southeast Asian tropics.[1][4][5] It is native to tropical and subtropical regions of Asia, Australia and the western Pacific.[1] This plant has  escaped from cultivation and has naturalized in many tropical regions of the Americas.[3][6] It is an agricultural and environmental weed.[3]","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/Tulasi
curry_Leaf,"The curry tree or Bergera koenigii (syn. Murraya koenigii), is a tropical and sub-tropical tree in the family Rutaceae (the rue family, which, apart from rue, includes citrus, and Ceylon satinwood), native to Asia.[4] The plant is also sometimes called sweet neem, although neem (Azadirachta indica) is in a different family from B. koenigii, namely the related family Meliaceae.","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/curry_Leaf
curry,"Curry is a dish with a sauce or gravy seasoned with spices, mainly derived from the interchange of Indian cuisine with European taste in food, starting with the Portuguese, followed by the Dutch and British, and then thoroughly internationalised. Many dishes that would be described as curries in English are found in the native cuisines of countries in Southeast Asia and East Asia. The English word is derived indirectly from some combination of Dravidian words such as the Tamil kaṟi (கறி) meaning 'sauce' or 'relish for rice'[citation needed].","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/curry
betel,"Betel (Piper betle) is a species of flowering plant in the pepper family Piperaceae, native to Southeast Asia. It is an evergreen, dioecious[1] vine, with glossy heart-shaped leaves and white catkins. Betel plants are cultivated for their leaves which are most commonly used as flavoring for chewing areca nut in so-called betel quid (often confusingly referred to as ""betel nut""), which is toxic and is associated with a wide range of serious health conditions.","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/betel
palak(Spinach),"Palak, commonly known as Spinach (Spinacia oleracea), is a leafy green vegetable native to central and western Asia. It is widely cultivated and consumed globally for its rich nutritional value.
 ","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/palakSpinach
coriender,Coriander (Coriandrum sativum) is an annual herb in the Apiaceae family. It is widely cultivated for its fresh leaves (cilantro) and dried seeds, both of which are commonly used in culinary and medicinal applications.
,"Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/coriender
ashoka,"Ashoka, also known as Asoka or Aśoka; Sanskrit: [ɐˈɕoːkɐ], IAST: Aśoka; c. 304 – 232 BCE), and popularly known as Ashoka the Great, was Emperor of Magadha[8] from c. 268 BCE until his death in 232 BCE, and the third ruler from the Mauryan dynasty. His empire covered a large part of the Indian subcontinent, stretching from present-day Afghanistan in the west to present-day Bangladesh in the east, with its capital at Pataliputra. A patron of Buddhism, he is credited with playing an important role in the spread of Buddhism across ancient Asia.","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/ashoka
seethapala,"Seethapala (Sechium edule), also known as Chayote or Vegetable Pear, is a green, wrinkled fruit that is technically a type of squash. It is native to Mesoamerica and is widely cultivated in tropical and subtropical regions.
","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/seethapala
lemon,"The lemon (Citrus × limon) is a species of small evergreen tree in the Citrus genus of the flowering plant family Rutaceae. The lemon is a hybrid of the citron and the bitter orange. Its origins are uncertain, but some evidence suggests lemons originated during the 1st millennium BC in what is now northeastern India.","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/lemon
pomegranate,"The pomegranate (Punica granatum) is a fruit-bearing deciduous shrub in the family Lythraceae, subfamily Punicoideae, that grows between 5 and 10 m (16 and 33 ft) tall. Rich in symbolic and mythological associations in many cultures, it is thought to have originated from Afghanistan and Iran before being introduced and exported to other parts of Asia, Africa, and Europe.[4][5][6]","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/pomegranate
pomoegranate,"Pomegranate (Punica granatum) is a fruit-bearing deciduous shrub native to the Mediterranean region, known for its tangy seeds and rich antioxidant content. The fruit is highly regarded for its medicinal, culinary, and health benefits.
","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/pomoegranate
pappaya,"Papaya is a tropical fruit-bearing plant native to Central America. It is widely cultivated for its sweet, orange-fleshed fruit and medicinal properties, particularly in digestive and skin health.
","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/pappaya
Papaya,"The papaya, papaw, is the plant species Carica papaya, one of the 21 accepted species in the genus Carica of the family Caricaceae,[5] and also the name of its fruit. It was first domesticated in Mesoamerica, within modern-day southern Mexico and Central America.[6][7] It is grown in several countries in regions with a tropical climate. In 2022, India produced 38% of the world's supply of papayas.","Supports immunity, digestion, etc.",Used in Ayurvedic and traditional medicine,"Includes vitamins, alkaloids, tannins, etc.",Consult a healthcare provider,"Pregnancy, allergies, interactions may occur",https://en.wikipedia.org/wiki/Papaya
